"","x","y","z","group","label","date"
"138",13.7164692880441,11.1282359841238,11048100000,"Equity","iShares MSCI EAFE Small-Cap ETF","2017/06"
"139",2.65809627552015,-2.17262554297665,12185700000,"Bond","iShares MBS ETF","2017/06"
"140",4.06552266868096,5.01059856967301,14786400000,"Bond","iShares iBoxx $ High Yield Corporate Bond ETF","2017/06"
"141",11.8777881581887,19.9120550048312,12378100000,"Equity","Industrial Select Sector SPDR Fund","2017/06"
"142",9.66700958498655,16.491009277268,4.0041e+10,"Equity","iShares Russell 1000 Growth ETF","2017/06"
"143",2.74138491889939,-0.640621219358406,40389200000,"Bond","Vanguard Total International Bond Index Fund;ETF","2017/06"
"144",0.940111774039856,-0.174530956157259,10728700000,"Bond","iShares 1-3 Year Credit Bond ETF","2017/06"
"145",15.2896589523015,19.3291618149722,3.7638e+10,"Equity","iShares Core S&P Small-Cap ETF","2017/06"
"146",9.64052471368217,14.5333039108273,19306900000,"Equity","iShares Russell 1000 ETF","2017/06"
"147",12.9520515509359,22.6985341607987,42169900000,"Equity","iShares MSCI Emerging Markets ETF","2017/06"
"148",12.6212243361849,21.6554473295908,50930200000,"Equity","iShares Core MSCI Emerging Markets ETF","2017/06"
"149",7.81011718818978,20.3324346361858,20922600000,"Equity","SPDR Dow Jones Industrial Average ETF Trust","2017/07"
"150",13.6284884995075,27.3487359361907,14009500000,"Equity","iShares MSCI Eurozone ETF","2017/07"
"151",16.3851439637336,24.6363041455931,26989199356,"Equity","Nikko Listed IDX Fund 225","2017/07"
"152",8.44352590604725,17.0268004855692,11599100000,"Equity","Schwab US Broad Market ETF","2017/07"
"153",8.47397633678708,18.7893232461762,19794400000,"Equity","iShares S&P 500 Growth ETF","2017/07"
"154",8.20190306034645,16.4905911390282,142638500000,"Equity","iShares Core S&P 500 ETF","2017/07"
"155",9.20250741890466,15.8014128302625,14578600000,"Equity","Guggenheim Invest S&P 500 Eql Wght ETF","2017/07"
"156",11.3331214709233,33.8642366553353,1.8315e+10,"Equity","Vanguard Information Technology Index Fund;ETF","2017/07"
"157",8.13069773039003,16.7381565216867,11939300000,"Equity","Vanguard Large-Cap Index Fund;ETF","2017/07"
"158",16.3982275137037,24.5156985487649,53347814525.6,"Equity","Nomura Nikkei 225 ETF","2017/07"
